4362,2103 N Lamon Ave,"(41.918876; -87.748436)"
6633,114 S Racine Ave,"(41.880046; -87.657283)"
1498,1613 E 73rd St,"(41.762265; -87.585469)"
3045,1800 W Irving Park Rd,"(41.954342; -87.674439)"
6027,1900 W Polk St,"(41.871591; -87.673912)"
5042,1700 N Halsted St,"(41.912419; -87.648496)"
3159,151 W Lake St,"(41.885637; -87.632629)"
3687,1558 N Pulaski Rd,"(41.909059; -87.726666)"
5286,1235 W Randolph St,"(41.883912; -87.657892)"
5372,1343 N California Ave,"(41.905887; -87.696778)"
2514,1625 N Damen Ave,"(41.911176; -87.677311)"
2656,1480 W Foster Ave,"(41.97636; -87.667473)"
5965,1031 N Clark St,"(41.901013; -87.631176)"
3093,1800 N Keeler Ave,"(41.913356; -87.731495)"
3545,11710 S Morgan St,"(41.681026; -87.647048)"
775,1415 S Wabash Ave,"(41.863547; -87.625536)"
5444,2 N LaSalle St,"(41.882046; -87.632427)"
6184,1111 W Addison St,"(41.947036; -87.657547)"
6737,1816 W Wilson Ave,"(41.965297; -87.674966)"
5121,1000 W North Shore Ave,"(42.003801; -87.657651)"
2331,1371 W Chicago Ave,"(41.896027; -87.661798)"
5160,1548 E 63rd St,"(41.780728; -87.587566)"
2175,1419 W Blackhawk St,"(41.906919; -87.663447)"
4875,1443 N Ogden Ave,"(41.907093; -87.646018)"
3927,1076 W Taylor St,"(41.869609; -87.653733)"
3499,2004 N Milwaukee Ave,"(41.917558; -87.688878)"
2948,11157 S Halsted St,"(41.691346; -87.6421)"
179,1601 W School St,"(41.941426; -87.668861)"
6711,1535 W Madison St,"(41.881338; -87.665538)"
3993,23 S Wabash Ave,"(41.881392; -87.625981)"
1346,1710 W 18th St,"(41.856961; -87.669076)"
4417,1211 N LaSalle Dr,"(41.904063; -87.632733)"
1548,1743 W 91st St,"(41.727367; -87.666233)"
6066,1021 W Lill Ave,"(41.927917; -87.65434)"
6015,2121 W Taylor St,"(41.868938; -87.679027)"
606,150 E Delaware Pl,"(41.899343; -87.623731)"
4358,200 E Randolph St,"(41.884545; -87.622196)"
6067,1170 W Armitage Ave,"(41.918251; -87.657551)"
5955,2045 N Damen Ave,"(41.918924; -87.677483)"
6461,1009 W Fulton Market,"(41.886609; -87.652556)"
4286,1953 W Chicago Ave,"(41.895821; -87.676217)"
4449,10211 S Crandon Ave,"(41.709534; -87.566737)"
2130,1400 W Belmont Ave,"(41.939856; -87.664006)"
5143,1632 W Wrightwood Ave,"(41.928855; -87.669636)"
3224,120 N LaSalle St,"(41.883745; -87.632488)"
6128,1951 W Dickens Ave,"(41.919469; -87.676863)"
4048,1628 W Washington Blvd,"(41.883425; -87.667682)"
5817,2000 W North Ave,"(41.910507; -87.677593)"
6259,1015 W Irving Park Rd,"(41.954337; -87.655139)"
6559,1101 W Lake St,"(41.885402; -87.654616)"
3964,200 S Wabash Ave,"(41.879379; -87.626233)"
5290,1200 S Lake Shore Dr,"(41.86517; -87.615542)"
4640,1804 W Division St,"(41.903382; -87.672648)"
1409,1 E 51st St,"(41.8019; -87.625808)"
4016,211 W Wacker Dr,"(41.886589; -87.634168)"
6215,1735 N Paulina St,"(41.913094; -87.670016)"
3689,2200 S Pulaski Rd,"(41.851413; -87.724802)"
4783,1836 W Foster Ave,"(41.976239; -87.675694)"
4692,111 W Jackson Blvd,"(41.878022; -87.631087)"
4148,1527 N Wicker Park Ave,"(41.908494; -87.676459)"
1981,2040 W Adams St,"(41.878848; -87.67808)"
561,130 E Randolph St,"(41.884601; -87.623654)"
4760,1307 E 60th St,"(41.785918; -87.594358)"
2460,1121 S Columbus Dr,"(41.87262; -87.620406)"
3778,1001 W Roscoe St,"(41.943397; -87.654252)"
3366,2200 S Marshall Blvd,"(41.851813; -87.699088)"
4773,1064 W Berwyn Ave,"(41.978315; -87.657054)"
4902,2100 N California Ave,"(41.919727; -87.697402)"
1332,1120 W 122nd St,"(41.672371; -87.649842)"
6144,2145 W Irving Park Rd,"(41.953963; -87.682725)"
3333,1710 W Lunt Ave,"(42.009132; -87.672749)"
4416,2111 W Estes Ave,"(42.011057; -87.683999)"
3885,11156 S St; Lawrence Ave,"(41.691488; -87.608561)"
165,1809 E 71st Pl,"(41.765057; -87.581418)"
4018,110 N Wacker Dr,"(41.883554; -87.637228)"
2643,1210 W Farwell Ave,"(42.006879; -87.66174)"
4004,1 E Wacker Dr,"(41.886752; -87.627907)"
568,16 N Wabash Ave,"(41.882321; -87.626353)"
1992,1103 W Addison St,"(41.947038; -87.657425)"
4620,1000 W Addison St,"(41.94737; -87.654465)"
806,1152 N Milwaukee Ave,"(41.902551; -87.665485)"
4901,1015 W Lake St,"(41.885415; -87.652705)"
6110,1300 E 47th St,"(41.808808; -87.592871)"
328,1601 N Milwaukee Ave,"(41.910566; -87.677546)"
2273,1201 W Catalpa Ave,"(41.981681; -87.660167)"
1045,141 W Jackson Blvd,"(41.878098; -87.631852)"
4820,1110 W Lill Ave,"(41.928163; -87.656587)"
574,1307 S Wabash Ave,"(41.865489; -87.625591)"
3604,2200 N Oakley Ave,"(41.921982; -87.685592)"
5260,2001 N Orchard St,"(41.918318; -87.646035)"
3645,1400 W Pershing Rd,"(41.823324; -87.659951)"
3735,1313 W Randolph St,"(41.883945; -87.659294)"
4731,1500 S California Ave,"(41.861177; -87.695792)"
